t,tau,R_eff,rho,alpha,beta_scaled,beta,beta_glass_gauss,beta_glass_exact,beta_inf_gauss,beta_inf_exact,entropy_density,free_energy,mean_energy_density,theory_entropy_density_liquid
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,1.8714285714285717,51.61265247790451,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.033304237629725744,0.006550270444130794,0.007195543183096949,0.0
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,2.0,55.15855990005061,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.030223580582297634,0.006589828225651332,0.007137768212428795,0.0
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,0.2,2.607165180334522,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.1157147675673496,-0.020762797670066134,0.023620568769532595,0.11401353689313123
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,0.3285714285714286,4.283199939121001,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.11112676694383279,-0.003662168599595033,0.022282631672007096,0.10594242554419145
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,0.4571428571428572,5.959234697907479,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.10504149085131873,0.003463927004645367,0.021090601598985965,0.09394482759306476
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,0.5857142857142859,7.635269456693959,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.09785709938425168,0.007214586129215665,0.02003104269820536,0.07802074303975112
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,0.7142857142857144,9.311304215480437,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.08993386149626689,0.009435429118598068,0.01909399674940837,0.0581701718842506
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,0.842857142857143,10.987338974266915,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.08163141167695429,0.010844775621118786,0.0182743645205002,0.034393114126563165
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,0.9714285714285715,12.663373733053394,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.07333015543693103,0.011780277855256139,0.017571006059504568,0.006689569766688797
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,1.1,14.33940849183987,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.06539636551031242,0.01242161230073986,0.01698221642520758,0.0
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,1.2285714285714286,16.01544325062635,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.05810981759854851,0.012872821779885866,0.01650118327380055,0.0
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,1.3571428571428572,17.69147800941283,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.05162005503707793,0.013197594297266902,0.016115386412183092,0.0
0.85,2.1544346900318843,0.13661232147481323,0.36961104079128,0.11876410093034503,1.4857142857142858,19.367512768199305,13.03582590167261,22.27860666601976,4.818185179091139,8.23441899720711,0.04595796589669865,0.013436333320080882,0.015809274360406918,0.0
